E119｜英伟达与芯片史上的大赢家们：凡是伟大的，都是叛逆的
时长：00:48:53
来源：网易云音乐电台节目 · 硅谷101 · E119｜英伟达与芯片史上的大赢家们：凡是伟大的，都是叛逆的

[00:00:02] 欢迎收听硅谷101这是一档分享当下最新鲜的技术知识与思想的科技播客我是红军
[00:41:06] 所以林本尖就研发出了245纳米的深紫外光它的波长更短所以可以加工更小尺寸的加工300纳米以下的晶体管到了2000年左右已经前进到了193纳米也叫深紫外但是下一步这个业界准备研究157纳米的紫外线光刻机就遇到了一个严重的瓶颈就是157纳米的紫外光会被空气中的氧气吸收掉
[00:41:35] 就没法照射到晶圆上面没法照射到光刻胶上面这样光刻机就失效了所以林本坚就想找到另外一个方法去解决但是业界还是坚持要做157纳米因为他们已经投入了几十亿美元去研发157纳米的光刻机他们想把光刻机里面的空气抽干或者是用其他的一些方法
[00:42:00] 那林本杰提出的方法是什么呢他是说把这个光路上面从光透进下来到晶圆表面变成水就在晶圆上浮上一层薄薄的水那光进入到水里面之后它的波长会缩小会从193纳米直接缩到134纳米甚至比刚才提到的157纳米还要短那这样就跳过了157纳米甚至比它的性能更好
[00:42:25] 但是业界对李美坚的想法存有很大的疑虑因为我们所有的芯片的加工都是没有水的现在李美坚突然提出要在晶圆上浮上一层水这个是业界无法接受因为上面都是电路就像我们现在不能随便在电脑上泼水泼咖啡一样这个想法就好像在我们的键盘上泼上一层水然后在这上面工作一样所以业界非常的不理解
[00:42:51] 而且他们投入了几十亿美元在157纳米这个技术上面所以非常不赞成林本坚的这个想法甚至有很多的这种光刻机或者是业界的厂商打电话给台积电当时林本坚在台积电打电话给台积电的副总裁让副总裁去劝说林本坚放弃这个想法不要来搅局了我们已经投入到几十亿了当时台湾有一所大学的校长形容林本坚的做法就是在一艘航母前把他叫停
[00:43:20] 就是这个航母已经出发了投入了几十亿美元打造的157纳米的技术林本田一个人站在这个航母前把他叫停然后他不停地在全世界飞来飞去向人们去证明这个静默式光刻就是把它附上一层水的这种光刻技术的好处向人们证明他特别喜欢下棋他其实已经预判了如果加上一层水会出现什么问题然后怎么解决这些问题去说服这些光刻机的厂家
[00:43:49] 终于有一家公司接受了他的建议当时是一家小公司但是现在我们都知道他的名字了就是ASML荷兰的光刻机的巨头当时ASML是一家非常小的公司当时的光刻巨头一方面是美国的一方面是日本的佳能、索尼等等
[00:44:08] 阿斯喵就抓住这个机会了听从林本坚的建议首先就研发出了进步式的光刻机然后一下子占领了一半以上的市场后来又占领了70%多甚至更多的市场紧接着其他的巨头像日本的美国的就被阿斯喵进程超越远远的赶不上阿斯喵阿斯喵就靠着进步式的光刻机崛起来了所以我们现在知道阿斯喵它就是靠着林本坚的进步式光刻崛起来
[00:44:36] 那这个进波式的光刻一下子把波长从193缩短到134纳米因为它透过这个水之后就会让波长缩短有照过了之前157纳米的这个问题
[00:44:49] 后来工程师又想出新的办法现在我们的光刻技术是7nm 5nm深更小那134nm其实是直接加工不出来7nm 5nm的芯片的工程师又想出用多重曝光的技术就是在一层研磨板曝光一次可能达不到精度再加一层研磨板再曝光一次通过多重曝光就可以让它的加工精度一直缩小缩小缩小到7nm
[00:45:14] 所以这个都是靠零本件的技术让芯片的加工光刻的工艺从45纳米一直前进到7纳米整整延续了7代
[00:45:23] 如果没有这项技术我们可能在45纳米的这个地方就卡住了现在全世界最先进的芯片就是45纳米而不是现在的5纳米或者3纳米就如果我们沿着原始的道路前进的话沿着那个几十亿计划的道路前进就没有现在的7纳米是的是的非常非常精彩的故事其实我看到你在书中说的有一段话特别打动我你就说很多发明他们一开始都不受待见
[00:45:52] 因为芯片的发展离不开持续的创新和超越但是创新越大对传统的叛逆和颠覆就越大遭到传统势力的抵制也更大所以芯片的发展史其实是一部创新史跟叛逆史
[00:46:06] 是的对这也是这本书想表达的一个主题因为不只是刚才我讲的这个例子实际上还有很多很多的例子都是类似这样的因为他们是非常叛逆的想法我们芯片的创新可能是在所有的行业里面最密集的一个创新所以为了有这些创新用传统的方法是不行的但是这些创新的方法是对传统方法的一种背叛
[00:46:31] 我们单独看某一个例子的话觉得是不是一个个例但是把它们连起来就会发现不是的尤其是像贝尔实验室这样的大公司它的对新兴技术的抵制或者压制反而是最大的我们现在觉得贝尔实验室可能是一个非常有创新的这样的一个企业但是在芯片历史发展的过程中很遗憾它是很多技术的抵制者包括集成电路的技术包括MOS刚才说的MOS晶体管的技术
[00:46:58] 还包括另外一个华裔提出来的叫做福山经济馆的技术这个福山经济馆是现在我们的FlashU盘的里面所有的用途都是福山经济馆刚刚提出来的时候也是在贝尔神市受到了抵制不被重视甚至不允许去在外面发表文章如果我们回顾历史的话就会发现原来他们居然有这么多的共性讲得非常好然后我想到了穆辛的一句话他说凡是伟大的都是叛逆的
[00:47:27] 是吗没想到这样一个诗人也会说出类似的这样的话很高兴对我觉得非常非常的精彩
[00:47:36] 我基本的一个观点就是要理解我们当前的这些热点问题像GPU的问题人工智能的问题我们需要稍微远离一点从较长的一个历史的一个几十年甚至上百年的历史的角度去回顾去看待的话我们就可以更好地理解当下面临的这些挑战以及可能看清楚未来可能解决的这些途径这样会给我们更多的一些思路
[00:48:02] 对,如果大家想了解芯片的发展历史,也推荐王波老师写的《芯片简史》的这本书。欢迎大家阅读。好的,谢谢王老师。也谢谢洪军,非常高兴今天跟你聊天。
[00:48:17] 感谢大家的收听谢谢
